[  97,  189] 面接にはせいけこな服を着て行きましょう。
[ 114, 1196] 1
[ 144,  166] 1 清潔
[ 144,  418] 清
[ 144,  602] 3 整潔
[ 144,  856] 整典
[ 147,  385] 2
[ 232,  192] アイスクリームがとけてしまった。
[ 276,  166] 1 解けて
[ 276,  420] 融けて
[ 276,  636] 溶けて
[ 276,  856] 流けて
[ 279,  385] 2
[ 279,  603] 3
[ 318, 1196] 昌
[ 412,  150] 語形成 VVord formation
[ 484,  234] ) に入れるのに最もよいものを;
[ 484,  570] 1 ・2 ・ 3・ 4から一つ選びなさいc
[ 581,  384] ) になりたい。
[ 582,  190] 将米は芸術
[ 628,  202] 師
[ 628,  382] 2 者
[ 628,  602] 3 家
[ 628,  820] 4 士
[ 716,  288] 文化を受け入れることが大事だ。
[ 760,  166] 1 擬
[ 760,  384] 2 否
[ 760,  602] 3 未
[ 760,  820] 4 異
[ 839,  193] やま ‥
[ 845,  563] )だが 実際はもう3歳だ。
[ 848,  190] 山田さんは子どもみたいな顔
[ 894,  202] つき
[ 894,  384] 2 もち
[ 894,  602] 3 きれ
[ 894,  820] 4 ぶり
[ 982,  192] ここは静かな住宅
[ 982,  450] )だ
[1016,  854] 場
[1024,  384] 2 街
[1026,  200] 域
[1026,  602] 3 所
[1029,  821] 4
[1105,  193] いみ
[1112,  538] ) 影響を与えるらしい。
[1114,  190] 雁尼不足は子どもの成長に (
[1117,  145] 5
[1158,  384] 2 遊
[1158,  820] 4 苦
[1160,  200] 乱
[1160,  602] 3 悪
[1162,  166] 1
[1668, 1098] 17
