[  98,  190] 子どもの心身の成長には; けんぜんな食生活は欠かせない。
[ 114, 1196] 1
[ 142,  200] 建善
[ 142,  636] 健善
[ 144,  384] 2 建全
[ 144,  854] 健全
[ 146,  602] 3
[ 146,  820] 4
[ 147,  167] 1
[ 232,  192] そうほうの意見を聞いて判断したい。
[ 276,  200] 相方
[ 276,  418] 相法
[ 276,  636] 双方
[ 276,  854] 双法
[ 278,  166] 1
[ 279,  385] 2
[ 279,  603] 3
[ 318, 1196] 昌
[ 412,  150] 語形成 VVord formation
[ 484,  257] に入れるのに最もよいものを;
[ 484,  569] 1 ・2 ・ 3・ 4から一つ選びなさいc
[ 582,  190] 深夜に電話をしてくるなんて (
[ 582,  572] )常識だ。
[ 628,  166] 1 不
[ 628,  384] 2 非
[ 628,  820] 4 反
[ 630,  636] 無
[ 631,  603] 3
[ 715,  384] ) 優先でするように; 部長に言われた。
[ 716,  192] この仕事を (
[ 760,  166] 1 好
[ 760,  384] 2 超
[ 762,  602] 3 最
[ 762,  820] 4 上
[ 848,  406] ) の男が訪ねてきた。
[ 850,  190] サラリーマン (
[ 892,  602] 3 様
[ 894,  200] 風
[ 894,  384] 2 松
[ 894,  820] 4 式
[ 897,  167] 1
[ 980,  192] この学校は大学進学 (
[ 982,  500] がほぼ10%である。
[1026,  166] 1 度
[1026,  384] 2 数
[1026,  602] 3 割
[1026,  820] 4 率
[1114,  192] りんごは皮 (
[1114,  384] )食べられる果物だ。
[1117,  145] 5
[1158,  204] ぐるみ
[1158,  384] 2 とも
[1158,  638] ずつ
[1160,  856] ごと
[1162,  600] 3
[1163,  167] 1
[1163,  821] 4
[1668, 1098] 19
