[  98,  190] 大勢の人の前に立つと; はずかしくて顔が真っ赤になってしまう。
[ 114, 1196] 1
[ 144,  198] どくて
[ 144,  418] :しくて
[ 144,  636] :かしくて
[ 144,  854] 児ずかしくて
[ 146,  166] 1
[ 147,  385] 2
[ 147,  603] 3
[ 147,  821] 4
[ 223,  193] うえ-
[ 232,  192] 上田さんはきようで 綱かい作業が得意だ。
[ 276,  384] 2 気易
[ 276,  602] 3 器用
[ 276,  820] 4 器易
[ 278,  166] 1
[ 278,  200] 気用
[ 318, 1196] 昌
[ 412,  150] 語形成 VVord formation
[ 484,  258] に入れるのに最もよいものを、
[ 484,  570] 1 ・2 ・ 3・ 4から一つ選びなさいc
[ 582,  192] こちらの申込用紙に
[ 582,  500] 住所と電話番号をご記入ください。
[ 628,  200] 今
[ 628,  384] 2 当
[ 628,  602] 3 同
[ 628,  820] 4 現
[ 711,  287] 規則な生活を統けていると、 いつか体を壊しますよ。
[ 719,  145] 2
[ 760,  166] 1 否
[ 760,  384] 2 脱
[ 760,  602] 3 不
[ 760,  820] 4 過
[ 846,  649] ) の高いものから始めることにした。
[ 848,  190] 複数の仕事を任されたが
[ 848,  458] まずは優先 (
[ 892,  820] 4 差
[ 894,  166] 1 度
[ 894,  384] 2 率
[ 894,  602] 3 位
[ 980,  192] この地域では使用
[ 980,  452] ) の乾電池は 燃えないゴミとして捨ててください。
[1024,  636] 締め
[1026,  166] 1 切り
[1026,  418] 済み
[1026,  856] 止め
[1028,  384] 2
[1028,  602] 3
[1114,  142] 5
[1114,  190] 両接 (
[1114,  318] )に志望理由について質問された。
[1160,  166] 1 家
[1160,  384] 2 官
[1160,  602] 3 手
[1160,  854] 師
[1668, 1098] 23
