[  98,  192] この機械はたんじゅんな仕組みでできている。
[ 114, 1196] 1
[ 144,  200] 単純
[ 144,  418] 短純
[ 144,  638] 単順
[ 144,  856] 短順
[ 146,  166] 1
[ 147,  385] 2
[ 147,  603] 3
[ 232,  189] 駅前のどうぞうの前で待ち合わせしましょう。
[ 276,  200] 銅造
[ 276,  418] 銅像
[ 276,  636] 胸造
[ 276,  854] 胸像
[ 279,  167] 1
[ 279,  385] 2
[ 279,  603] 3
[ 318, 1196] 昌
[ 412,  150] 語形成 VVord formation
[ 484,  258] に入れるのに最もよいものを、
[ 484,  570] 1 ・2 ・ 3・ 4から一つ選びなさいc
[ 582,  192] 日木酒の
[ 582,  364] ) 原料は米である。
[ 628,  166] 1 本
[ 628,  384] 2 真
[ 628,  602] 3 主
[ 628,  854] 総
[ 630,  820] 4
[ 716,  192] この仕事は (
[ 716,  386] ) 経験なので不安だ。
[ 760,  166] 1 浅
[ 760,  602] 3 非
[ 760,  820] 4 未
[ 762,  384] 2
[ 762,  418] 無
[ 848,  188] 先月は自宅にいる時間が長かったので 光熱 (
[ 848,  716] ) が高くなってしまった。
[ 894,  200] 代
[ 894,  384] 2 安
[ 894,  600] 3 料
[ 894,  820] 4 賃
[ 897,  167] 1
[ 980,  192] 日本では家に入るとき;
[ 980,  432] 戦を脱ぐのが一般 (
[ 980,  692] り)だ
[1026,  166] 1 式
[1026,  384] 2  感
[1026,  602] 3 風
[1026,  854] 的
[1028,  820] 4
[1114,  192] この道には5メートル
[1114,  496] )に木が植えられている。
[1117,  145] 5
[1160,  202] つき
[1160,  384] 2 おき
[1160,  602] 3 ぶり
[1160,  820] 4 あき
[1162,  166] 1
[1668, 1098] 25
