[ 112,  152] 言い換え類義 Paraphrases
[ 114, 1196] 1
[ 184,  224] の言葉に意味が最も近いものを、
[ 186,  558] 1 ・2 ・ 3・ 4から一つ選びなさい。
[ 284,  190] 友人のあのような発言を聞いて; 失望しました。
[ 320, 1198] 豊
[ 328,  202] がっかりしました
[ 328,  638] おかしいと思いました
[ 333,  603] 2
[ 372,  202] 勇気が出ました
[ 372,  602] 4 鷲きました
[ 385, 1201] 昌
[ 460,  190] 毎日あわただしく過ごしています。
[ 506,  202] 平和に
[ 506,  418] 健康に
[ 506,  636] 化しく
[ 506,  820] 4 楽しく
[ 509,  385] 2
[ 509,  603] 3
[ 594,  188] 新しい薬を使ったら
[ 594,  412] いくらか効果があった。
[ 638,  200] 非常に
[ 638,  854] ある程度
[ 640,  418] 予想以上に
[ 640,  638] いつの間にか
[ 643,  385] 2
[ 643,  603] 3
[ 643,  821] 4
[ 728,  192] その人は私に墓実を教えてくれた。
[ 772,  200] 願い事
[ 772,  418] 木当のこと
[ 772,  638] 正しい方法
[ 772,  854] 得な情報
[ 775,  385] 2
[ 775,  603] 3
[ 775,  821] 4
[ 849,  455] 月に10の0円くらいは,当だと思います。
[ 853,  186] 小学生のお小造いとして
[ 904,  202] 当たり前だ
[ 904,  384] 2 多すぎる
[ 904,  638] 適切だ
[ 904,  854] 少なすぎる
[ 906,  820] 4
[ 909,  605] 3
[1668, 1098] 31
