[ 108,  910] 目標解答時間 10分
[ 111,  140] 第2週
[ 114,   12] 1
[ 116,  340] 4日目
[ 162, 1078] 日
[ 204,  122] 文脈規定 Contextually-defined expressions
[ 276,  230] に入れるのに最もよいものを 1 ・2・3・4から一つ選びなさい。
[ 318,   14] 豊
[ 374,  162] 小さな子どもが何人も殺されるという
[ 374,  622] ) な事件が起きた
[ 402,   16] 亀
[ 420,  174] ユニーク
[ 420,  392] チェック
[ 420,  611] ショッキング
[ 420,  790] 4 パック
[ 422,  356] 2
[ 422,  574] 3
[ 508,  162] 明日も早いんだから;
[ 508,  456] ) 寝なさい。
[ 552,  138] 1 さっさと
[ 552,  392] せっせと
[ 552,  610] そっと
[ 552,  828] ほっと
[ 554,  574] 3
[ 555,  357] 2
[ 555,  793] 4
[ 640,  162] 深刻な失業問題を
[ 640,  428] ) ために; 3北円もの予算が組まれた。
[ 681,  170] 解約する
[ 684,  390] 解決する
[ 684,  608] 解説する
[ 684,  826] 解散する
[ 689,  357] 2
[ 689,  575] 3
[ 772,  164] 自分で宿題をせずに 友達にやらせるのは
[ 776,  668] )。
[ 818,  174] おしい
[ 818,  356] 2 あらい
[ 818,  610] きよい
[ 818,  828] ずるい
[ 820,  574] 3
[ 821,  141] 1
[ 906,  162] 事故に連い、 一時は意識もなく (
[ 906,  560] )だったが なんとか目を覚ました。
[ 950,  138] 1 貴重
[ 950,  356] 2 慎重
[ 950,  608] 重心
[ 950,  826] 重体
[ 955,  793] 4
[1037,  236] )少しの間でいいので; 荷物を持っていてくれませんか。
[1083,  609] わずかに
[1084,  174] ほんの
[1084,  392] たったの
[1084,  828] たんに
[1087,  357] 2
[1087,  575] 3
[1163,  690] 20k8の重さまで耐えられます。
[1172,  164] このフックについている磁石はとても (
[1172,  622] )で
[1216,  174] 強気
[1216,  392] 強大
[1216,  610] 強力
[1216,  828] 強引
[1218,  574] 3
[1220,  356] 2
[1668,  106] 32
